City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,stanthorpe,-28.6667,151.95,281.16,95,1,4.22,AU,1717872726
300,marsassoum,12.8275,-15.9806,302.2,41,100,6.33,SN,1717872726
301,'ain el bell,34.3438,3.2247,303.37,19,100,11.15,DZ,1717872520
302,fonte boa,-2.4959,-66.2662,299.48,93,100,1.29,BR,1717872431
303,concepcion de la sierra,-27.9831,-55.5203,301.26,79,10,2.67,AR,1717872550
304,bourg-saint-maurice,45.6172,6.769,293.38,84,100,0.83,FR,1717872726
305,aripuana,-9.1667,-60.6333,308.84,25,1,1.57,BR,1717872726
306,akureyri,65.6835,-18.0878,278.11,75,75,5.14,IS,1717872726
307,copiapo,-27.3667,-70.3333,289.98,42,48,1.55,CL,1717872726
308,zinjibar,13.1287,45.3807,306.39,50,5,0.89,YE,1717872727
309,kos,36.8933,27.2889,298.84,62,0,7.08,GR,1717872714
310,port-vila,-17.7338,168.3219,293.93,100,20,1.03,VU,1717872727
311,masterton,-40.9597,175.6575,280.43,90,100,2.74,NZ,1717872727
312,harstad,68.799,16.5293,285.82,95,100,0.89,NO,1717872727
313,uttarkashi,30.7333,78.45,291.76,44,94,1.83,IN,1717872727
314,luena,-11.7833,19.9167,295.25,43,16,3.09,AO,1717872727
315,lerma,42.0261,-3.7598,287.46,89,100,7.05,ES,1717872727
316,hovd,48.0056,91.6419,292.08,32,7,4.07,MN,1717872444
317,garbahaarrey,3.3289,42.2209,301.46,52,100,8.62,SO,1717872727
318,puerto carreno,6.189,-67.4859,300.14,83,75,2.57,CO,1717872727
319,nicoya,10.1483,-85.452,301.87,80,100,1.48,CR,1717872727
320,bodo,67.28,14.405,288.58,59,40,2.06,NO,1717872727
321,bela,25.9333,81.9833,309.4,18,0,3.4,IN,1717872728
322,new plymouth,-39.0667,174.0833,288.04,100,99,4.4,NZ,1717872437
323,dzerzhinskoye,56.8344,95.2283,286.34,99,100,2.37,RU,1717872728
324,polyarnyy,69.1989,33.4478,277.73,85,100,6.91,RU,1717872728
325,ad dilam,23.9915,47.1627,311.38,8,0,4.79,SA,1717872728
326,ratnagiri,16.9833,73.3,299.53,90,100,4.02,IN,1717872728
327,yuzhno-kurilsk,44.0306,145.8556,284.47,98,100,3.8,RU,1717872728
328,rongelap,11.1635,166.8941,301.44,82,18,7.37,MH,1717872728
329,al khaburah,23.9886,57.0984,305.42,63,3,2.39,OM,1717872728
330,arawa,-6.2132,155.5367,298.23,92,100,1.38,PG,1717872728
331,petra,30.3222,35.4793,295.02,45,0,2.18,JO,1717872728
332,lavrio,37.7145,24.0565,302.73,53,0,3.97,GR,1717872728
